"X_id","blueWins"
"KR_5508260939",0
"KR_5516772085",0
"KR_5501875163",0
"KR_5517009122",1
"KR_5509892986",0
"KR_5517440100",0
"KR_5507426321",0
"KR_5514831888",1
"KR_5508339370",0
"KR_5506855045",0
"KR_5516083912",1
"KR_5514995625",1
"KR_5517457884",1
"KR_5516429153",1
"KR_5517024103",0
"KR_5510866787",1
"KR_5517565482",0
"KR_5511900013",1
"KR_5517467272",1
"KR_5504728334",1
"KR_5515873069",0
"KR_5516033849",1
"KR_5517508589",1
"KR_5513582555",0
"KR_5504152391",1
"KR_5505908229",1
"KR_5517372798",1
"KR_5506965744",1
"KR_5514819462",0
"KR_5515260313",0
"KR_5504533035",0
"KR_5517151215",1
"KR_5517052722",0
"KR_5517204414",0
"KR_5515303227",0
"KR_5516644938",1
"KR_5517298063",0
"KR_5509867973",1
"KR_5517683574",1
"KR_5517379318",1
"KR_5515847748",1
"KR_5515720355",1
"KR_5516480315",0
"KR_5514640742",0
"KR_5515747480",0
"KR_5516486343",0
"KR_5517423587",0
"KR_5516358324",1
"KR_5513646748",0
"KR_5517582838",0
"KR_5514769740",0
"KR_5506611769",0
"KR_5507000116",0
"KR_5508687437",0
"KR_5491521236",1
"KR_5444091194",1
"KR_5517550642",1
"KR_5516356690",1
"KR_5511405679",0
"KR_5497238083",0
"KR_5513453777",1
"KR_5517125286",0
"KR_5517243808",0
"KR_5514772835",0
"KR_5516288365",1
"KR_5517469201",0
"KR_5516008987",0
"KR_5516454626",0
"KR_5515741056",1
"KR_5478070793",0
"KR_5513243800",0
"KR_5509833592",1
"KR_5510945102",0
"KR_5511492347",0
"KR_5508338581",1
"KR_5504095774",1
"KR_5508382480",1
"KR_5507444922",0
"KR_5517414571",0
"KR_5515231662",0
"KR_5516074774",1
"KR_5513335030",1
"KR_5513942689",1
"KR_5516375282",1
"KR_5506899116",0
"KR_5512084191",1
"KR_5515152374",1
"KR_5514411434",0
"KR_5505718399",0
"KR_5504518372",1
"KR_5506632623",1
"KR_5511006899",0
"KR_5515627965",1
"KR_5503463917",0
"KR_5516235369",1
"KR_5517295085",1
"KR_5515060840",1
"KR_5506548049",0
"KR_5509943492",0
"KR_5507179002",1
"KR_5507380371",0
"KR_5516093965",0
"KR_5467194928",0
"KR_5517097130",0
"KR_5513370721",0
"KR_5517683000",1
"KR_5516643935",1
"KR_5515964161",0
"KR_5513070080",0
"KR_5516413388",1
"KR_5511690805",1
"KR_5517168993",1
"KR_5505989864",0
"KR_5517424180",1
"KR_5514866931",1
"KR_5516999696",1
"KR_5517522675",0
"KR_5506055295",1
"KR_5499726308",1
"KR_5517332007",1
"KR_5506339090",0
"KR_5516243314",0
"KR_5515251039",1
"KR_5469781991",1
"KR_5517200106",0
"KR_5517417766",1
"KR_5516993907",0
"KR_5515000609",1
"KR_5514174600",1
"KR_5517131764",0
"KR_5513386709",1
"KR_5484665126",0
"KR_5517491335",0
"KR_5517485481",0
"KR_5516109035",0
"KR_5515466396",0
"KR_5515249246",1
"KR_5515288927",1
"KR_5514598597",1
"KR_5510754238",0
"KR_5517684665",0
"KR_5513619353",1
"KR_5517425967",1
"KR_5517651023",1
"KR_5517555173",1
"KR_5509645508",0
"KR_5510030995",0
"KR_5516605083",1
"KR_5508634459",0
"KR_5512601574",1
"KR_5508289748",0
"KR_5508127043",0
"KR_5516538619",1
"KR_5513835063",0
"KR_5515111664",1
"KR_5516071239",0
"KR_5509626151",1
"KR_5516865396",1
"KR_5516423980",0
"KR_5517222072",0
"KR_5493003770",1
"KR_5516436687",1
"KR_5514015435",1
"KR_5516112916",1
"KR_5507334782",1
"KR_5508480796",0
"KR_5501773055",0
"KR_5517287745",0
"KR_5503889093",1
"KR_5515725795",0
"KR_5506822720",0
"KR_5517309849",0
"KR_5513007773",0
"KR_5516123352",0
"KR_5517298542",0
"KR_5515229282",1
"KR_5513493502",0
"KR_5502158136",1
"KR_5517297811",1
"KR_5516606190",0
"KR_5516250159",1
"KR_5516146749",1
"KR_5515987213",0
"KR_5515883119",0
"KR_5512171941",0
"KR_5517223054",0
"KR_5514921492",1
"KR_5515806235",0
"KR_5517616885",1
"KR_5514724631",0
"KR_5510226582",1
"KR_5513369519",0
"KR_5509704729",0
"KR_5484398016",0
"KR_5146561422",1
"KR_5516228544",0
"KR_5516452723",0
"KR_5513850891",0
"KR_5507569826",1
"KR_5512128538",1
"KR_5516372043",1
"KR_5516010000",1
"KR_5514874267",1
"KR_5515877043",0
"KR_5516169081",0
"KR_5515039752",0
"KR_5512256747",0
"KR_5517426153",1
"KR_5507187799",1
"KR_5513266583",0
"KR_5508347925",0
"KR_5510818104",0
"KR_5511941064",0
"KR_5509361289",1
"KR_5508440594",1
"KR_5508440381",1
"KR_5508346772",0
"KR_5509911123",0
"KR_5515680925",1
"KR_5516178033",0
"KR_5513255221",1
"KR_5517461146",1
"KR_5516109422",0
"KR_5506939581",0
"KR_5512638012",0
"KR_5516599086",0
"KR_5515884817",1
"KR_5517245873",1
"KR_5505844563",1
"KR_5505338548",1
"KR_5511157895",1
"KR_5516151026",0
"KR_5503199752",0
"KR_5516131999",1
"KR_5517299809",0
"KR_5509832053",0
"KR_5514912823",1
"KR_5511083332",0
"KR_5509220843",0
"KR_5517079765",0
"KR_5514607768",0
"KR_5513764968",0
"KR_5485240042",1
"KR_5512312348",0
"KR_5511214635",1
"KR_5502055265",0
"KR_5515803525",1
"KR_5516394092",1
"KR_5511542844",1
"KR_5515866227",1
"KR_5515237992",0
"KR_5515790148",1
"KR_5515951858",0
"KR_5515236119",0
"KR_5517533638",0
"KR_5516530495",0
"KR_5455306666",0
"KR_5512295927",0
"KR_5503001775",1
"KR_5515719735",0
"KR_5516849645",1
"KR_5517037754",0
"KR_5506428474",0
"KR_5515700520",0
"KR_5511219902",0
"KR_5471884589",0
"KR_5516382532",0
"KR_5508807981",1
"KR_5516988280",1
"KR_5511098463",0
"KR_5508678353",1
"KR_5500740957",0
"KR_5515284888",1
"KR_5517599582",0
"KR_5512258240",1
"KR_5516497035",0
"KR_5517632653",0
"KR_5513369035",0
"KR_5487183347",0
"KR_5516273649",1
"KR_5439836663",0
"KR_5510837111",1
"KR_5513382422",1
"KR_5514175913",1
"KR_5497197069",0
"KR_5511328398",0
"KR_5517280671",1
"KR_5512788354",0
"KR_5515209126",0
"KR_5512405823",0
"KR_5515446512",1
"KR_5517221741",1
"KR_5508770008",1
"KR_5514644497",0
"KR_5514650187",0
"KR_5506975002",1
"KR_5515851767",0
"KR_5508336280",0
"KR_5512327024",1
"KR_5516142514",1
"KR_5517179483",0
"KR_5477899453",1
"KR_5492562292",0
"KR_5513093425",0
"KR_5517291139",0
"KR_5516356698",1
"KR_5510248368",1
"KR_5514375679",0
"KR_5515817227",0
"KR_5517106709",0
"KR_5514878162",1
"KR_5516773870",0
"KR_5513415969",1
"KR_5513167755",0
"KR_5514700196",1
"KR_5515163420",0
"KR_5513836196",1
"KR_5516992189",0
"KR_5517366988",0
"KR_5452674698",1
"KR_5515825234",1
"KR_5517365857",1
"KR_5516324429",0
"KR_5516234554",1
"KR_5517613548",1
"KR_5497179686",0
"KR_5517471594",1
"KR_5516268273",0
"KR_5517641429",0
"KR_5511419584",1
"KR_5516056804",0
"KR_5509721092",0
"KR_5512699809",0
"KR_5517201711",1
"KR_5502411825",1
"KR_5513814450",1
"KR_5511514947",0
"KR_5511215209",0
"KR_5480462269",1
"KR_5510358185",0
"KR_5510381768",0
"KR_5502138956",0
"KR_5511547986",1
"KR_5517574478",1
"KR_5511124138",0
"KR_5514160326",1
"KR_5515373969",1
"KR_5516973319",0
"KR_5516102376",0
"KR_5516465302",0
"KR_5513275718",1
"KR_5503677930",1
"KR_5380630988",1
"KR_5490615641",0
"KR_5488918967",1
"KR_5516110679",1
"KR_5514638403",1
"KR_5478279650",1
"KR_5515610672",0
"KR_5516122342",0
"KR_5445477702",0
"KR_5517121081",1
"KR_5517033919",1
"KR_5515383610",1
"KR_5510248754",0
"KR_5497005537",1
"KR_5511359629",1
"KR_5517453016",0
"KR_5512477146",1
"KR_5509742985",1
"KR_5513714679",0
"KR_5432373783",1
"KR_5516371686",0
"KR_5419752492",1
"KR_5515242950",1
"KR_5517527469",1
"KR_5517399527",1
"KR_5497171909",0
"KR_5511411935",0
"KR_5509371121",1
"KR_5514780042",1
"KR_5515218256",0
"KR_5515460242",0
"KR_5516986930",1
"KR_5508775277",0
"KR_5509604361",0
"KR_5512784423",1
"KR_5516399450",1
"KR_5502064905",0
"KR_5511863037",1
"KR_5507348939",0
"KR_5516425562",0
"KR_5505654944",1
"KR_5505740125",1
